County,Region
POLK,Central
LINN,Southeast
SCOTT,Southeast
BLACK HAWK,Northeast
JOHNSON,Southeast
POTTAWATTAMIE,South
WOODBURY,Northwest
STORY,Central
DUBUQUE,Southeast
CERRO GORDO,Northeast
DALLAS,Central
CLINTON,Southeast
DES MOINES,Southeast
DICKINSON,Northwest
MUSCATINE,Southeast
MARSHALL,Central
LEE,Southeast
WEBSTER,Northwest
WAPELLO,South
WARREN,Central
MARION,Central
JASPER,Central
CARROLL,Northwest
POWESHIEK,Central
BREMER,Northeast
BUENA VISTA,Northwest
BOONE,Central
SIOUX,Northwest
BENTON,Southeast
CLAY,Northwest
HARDIN,Central
MAHASKA,South
O'BRIEN,Northwest
PLYMOUTH,Northwest
WASHINGTON,Southeast
JONES,Southeast
IOWA,Southeast
FAYETTE,Northeast
PAGE,South
BUCHANAN,Northeast
KOSSUTH,Northeast
HARRISON,South
WINNESHIEK,Northeast
FLOYD,Northeast
CASS,South
MONONA,Northwest
HAMILTON,Northwest
CLAYTON,Northeast
LYON,Northwest
HENRY,Southeast
UNION,South
PALO ALTO,Northwest
DELAWARE,Southeast
MADISON,South
MILLS,South
CEDAR,Southeast
JACKSON,Southeast
CRAWFORD,Northwest
ALLAMAKEE,Northeast
WINNEBAGO,Northeast
CHEROKEE,Northwest
JEFFERSON,South
SAC,Northwest
HOWARD,Northeast
TAMA,Central
WRIGHT,Northwest
APPANOOSE,South
KEOKUK,South
SHELBY,South
LUCAS,South
HUMBOLDT,Northwest
GUTHRIE,Northwest
IDA,Northwest
EMMET,Northwest
MONTGOMERY,South
CLARKE,South
ADAIR,South
FRANKLIN,Northeast
BUTLER,Northeast
MITCHELL,Northeast
GREENE,Northwest
HANCOCK,Northeast
POCAHONTAS,Northwest
CHICKASAW,Northeast
GRUNDY,Northeast
CALHOUN,Northwest
WORTH,Northeast
MONROE,South
LOUISA,Southeast
AUDUBON,Northwest
OSCEOLA,Northwest
VAN BUREN,South
ADAMS,South
DECATUR,South
WAYNE,South
TAYLOR,South
FREMONT,South
DAVIS,South
RINGGOLD,South
